Daerah,Penjualan,Promosi,Outlet,Laju Penduduk,Pesaing,Income
Jakarta,205,26,159,2.50,15,5.46
Tangerang,206,28,164,1.50,16,2.43
Bekasi,254,35,198,1.75,19,2.56
Bogor,246,21,184,1.64,17,3.55
Bandung,201,21,150,2.65,11,4.35
Semarang,291,49,208,1.45,24,3.65
Solo,234,30,184,1.67,16,3.44
Jogja,209,30,154,2.74,10,2.55
Surabaya,204,24,149,1.35,14,4.79
Purwokerto,216,31,175,2.13,14,2.53
Madiun,245,32,192,2.64,11,2.75
Tuban,286,47,201,1.63,19,2.53
Malang,321,54,248,2.53,21,3.51
Kudus,265,40,166,2.54,18,2.81
Pekalongan,322,42,287,1.53,18,3.01
