GRE SCORE,TOEFL Score,University Rangking,SOP,LOR,CGPA,Research,Chance of Admit
300,97,2,3,3,8.1,1,0.65
327,103,3,4,4,8.3,1,0.74
338,118,4,3,4.5,9.4,1,0.91
340,114,5,4,4,9.6,1,0.9
331,112,5,4,5,9.8,1,0.94
320,110,5,5,5,9.2,1,0.84
299,106,2,4,4,8.4,0,0.64
300,105,1,1,2,7.8,0,0.58
304,105,1,3,1.5,7.5,0,0.52
307,108,2,4,3.5,7.7,0,0.48
308,110,3,3.5,3,8,1,0.46
316,105,2,2.5,2.5,8.2,1,0.49
313,107,2,2.5,2,8.5,1,0.49
332,117,4,4.5,4,9.1,0,0.87
326,113,5,4.5,4,9.4,1,0.91
322,110,5,5,4,9.1,1,0.88
329,114,5,4,4,9.3,1,0.89
339,119,5,4.5,4,9.7,0,0.89
321,110,3,3.5,5,8.85,1,0.82
327,111,4,3,4,8.4,1,0.78
313,98,3,2.5,4.5,8.3,1,0.78
312,100,2,1.5,3.5,7.9,1,0.58
334,116,4,4,3,8,1,0.78
324,112,4,4,2.5,8.1,1,0.72
322,110,3,3,3.5,8,0,0.7
320,103,3,3,3,7.7,0,0.64
316,102,3,2,3,7.4,0,0.64
298,99,2,4,2,7.6,0,0.46
300,99,1,3,2,6.8,1,0.36
311,104,2,2,2,8.3,0,0.42
